,dh,dhid,mfdh,rgwp,dhwp,pp,rare
eval_accuracy,0.6871310507674144,0.6100060277275468,0.7553648068669528,0.4855072463768116,0.7526501766784452,0.8571428571428571,0.0
eval_precision,0.7075987841945289,0.736,0.6285714285714286,0.78900883218842,0.3886861313868613,0.49740932642487046,0.0
