,dh,dhid,mfdh,rgwp,dhwp,pp,rare,model
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Majority Vote
1,0.39793577981651373,0.5998796630565584,0.6691449814126395,0.7934272300469484,0.6166666666666667,0.0,0.0,K-means
2,0.5848623853211009,0.6335740072202166,0.45353159851301117,0.8714337305886601,0.0,0.0,0.0,Gaussian Mixture Model
3,0.5647935779816514,0.5788206979542719,0.45724907063197023,0.8707114481762369,0.2,0.0,0.0,Bayesian Gaussian Mixture Model
4,0.7649082568807339,0.6167268351383874,0.550185873605948,0.8129288551823763,0.5666666666666667,0.8584905660377359,0.0,Random Forest
5,0.6496559633027523,0.5354993983152828,0.8178438661710037,0.8396533044420368,0.4888888888888889,0.9716981132075472,0.4,Balanced Random Forest
6,0.6966743119266054,0.5078219013237064,0.8327137546468402,0.8512098230408089,0.48703703703703705,0.9150943396226415,0.3,Support Vector Machine
7,0.7505733944954128,0.5848375451263538,0.49070631970260226,0.8353196099674973,0.48703703703703705,0.6037735849056604,0.0,K-nearest Neighbors
8,0.7287844036697247,0.4073405535499398,0.7137546468401487,0.6616106897797038,0.6240740740740741,0.6037735849056604,0.4,Easy Ensemble
9,0.6186926605504587,0.5505415162454874,0.8141263940520446,0.8403755868544601,0.4888888888888889,0.9716981132075472,0.4,Self Trainer
10,0.7488532110091743,0.5914560770156438,0.49070631970260226,0.8371253159985554,0.4925925925925926,0.6037735849056604,0.0,Label Propagation
11,0.7144495412844036,0.6383874849578821,0.5799256505576208,0.929938605994944,0.43148148148148147,0.7924528301886793,0.0,LSTM
12,0.8239678899082569,0.5818291215403129,0.43866171003717475,0.8353196099674973,0.5722222222222222,0.7735849056603774,0.0,BLSTM
13,0.8870412844036697,0.618531889290012,0.5353159851301115,0.9061032863849765,0.5092592592592593,0.330188679245283,0.0,Encoder Decoder
