,dh,dhid,mfdh,rgwp,dhwp,pp,rare
eval_accuracy,0.7756788665879575,0.6708860759493671,0.592274678111588,0.6274154589371981,0.6378091872791519,0.5625,0.0
eval_precision,0.6883184913567313,0.6547058823529411,0.7340425531914894,0.8085603112840467,0.4700520833333333,0.9,0.0
