,Metrics,Values,Model
0,eval_balanced_accuracy,0.5360353558906519,K-nearest Neighbors
1,eval_absolute_accuracy,0.7116901408450704,K-nearest Neighbors
2,eval_recall,0.7116901408450704,K-nearest Neighbors
3,eval_precision,0.7142706897073647,K-nearest Neighbors
4,eval_f1,0.7093399957336493,K-nearest Neighbors
5,eval_fit_time,0.0038166046142578125,K-nearest Neighbors
6,eval_score_time,2.032503128051758,K-nearest Neighbors
7,eval_roc_auc,0.890892943163931,K-nearest Neighbors
8,eval_log_loss,3.584159953648964,K-nearest Neighbors
