output,data_file,model_type,name,num_clusters,find_num_clusters,num_components,cov_type,kernel,alpha,criterion,n_estimators,max_features,max_samples,resample,decision_function_shape,gamma,n_neighbors,sampling_strategy,batch_size,epochs,learning_rate,rnn_size,dense_units,dropout,attention,bidirectional,regularize,print_results,model,train_balanced_accuracy,train_recall,train_precision,test_balanced_accuracy,test_recall,test_precision,fit_time,score_time
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,baseline,,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,baseline,0.14285714285714285,0.38820962178017393,0.150706713534866,0.14285714285714285,0.3882096265191544,0.15070671431546728,0.0006298065185546875,0.0010387420654296875
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,kmeans,,15,acc,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,kmeans,0.2093615159350469,0.4941025484089231,0.4335044362556668,0.22084095541044396,0.49479584185412406,0.4389312648396356,25.41306953430176,0.0032573699951171874
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,kmeans,,15,sil,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,kmeans,0.22544762377488317,0.5117040367024601,0.3341601868114984,0.22544779758533612,0.5117043750387309,0.33418271686840695,1.5765837192535401,0.003159904479980469
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,kmeans,,30,acc,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,kmeans,0.31649204857189006,0.587416376781278,0.5495368239942084,0.3169923669057298,0.5888831463923488,0.556367204597869,322.77234597206115,0.0034600257873535155
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,kmeans,,30,sil,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,kmeans,0.22544762377488317,0.5117040367024601,0.3341601868114984,0.22544779758533612,0.5117043750387309,0.33418271686840695,1.6084118843078614,0.0032869815826416016
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,gmm,,15,acc,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,gmm_tied,0.18446186620453414,0.4466272893843842,0.30647780389316537,0.18530968471026835,0.44875266984776185,0.3082550126482689,5.304368400573731,0.01087188720703125
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,gmm,,15,acc,15,diag,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,gmm_diag,0.2635209356321675,0.5854846360743966,0.5269777552324101,0.26215066523954383,0.5828830740947305,0.5275359759323919,102.68022952079772,0.0061150074005126955
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,gmm,,15,bic,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,gmm_tied,0.18446186620453414,0.4466272893843842,0.30647780389316537,0.18530968471026835,0.44875266984776185,0.3082550126482689,5.333533811569214,0.010885286331176757
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,gmm,,15,bic,15,diag,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,gmm_diag,0.2635209356321675,0.5854846360743966,0.5269777552324101,0.26215066523954383,0.5828830740947305,0.5275359759323919,102.47735514640809,0.0061188220977783205
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,gmm,,15,acc,30,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,gmm_tied,0.2496143459796884,0.5469181851754291,0.514983543145854,0.2506940225934443,0.5477939931007416,0.5143465184814919,22.232414340972902,0.03311138153076172
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,gmm,,15,acc,30,diag,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,gmm_diag,0.29156457812537423,0.5980409584166189,0.559732749979577,0.2935711972486744,0.5974728574084402,0.557374270883248,263.98895010948183,0.008160066604614259
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,gmm,,15,bic,30,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,gmm_tied,0.2496143459796884,0.5469181851754291,0.514983543145854,0.2506940225934443,0.5477939931007416,0.5143465184814919,22.084365367889404,0.03342175483703613
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,gmm,,15,bic,30,diag,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,gmm_diag,0.29156457812537423,0.5980409584166189,0.559732749979577,0.2935711972486744,0.5974728574084402,0.557374270883248,264.17400727272036,0.00802297592163086
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,bmm,,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,bmm_tied,0.22192035307956495,0.49855698152481,0.46113025429484855,0.2222963697100469,0.49915873458511495,0.46244976999501064,81.98613185882569,0.022523021697998045
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,bmm,,15,both,15,diag,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,bmm_diag,0.29650451093481706,0.6467092520569596,0.5886231844996151,0.2969416201908966,0.6472432505009191,0.5889835267663222,164.36918745040893,0.006750583648681641
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,bmm,,15,both,30,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,bmm_tied,0.2283022942250459,0.4745693652478423,0.42756892779758227,0.22972042504923457,0.47784197806283696,0.4480056382387577,1246.23098154068,0.038817644119262695
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,bmm,,15,both,30,diag,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,bmm_diag,0.3077807605333268,0.6480614414986751,0.6043314762548523,0.3024810500423879,0.6486523310817789,0.5984824443768517,326.6178489685059,0.008753776550292969
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,sqrt,0.4,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,50.99859361648559,0.7943922519683838,0.684119361140621,0.9396370350644924,0.8317348020078082,0.9700013674326355,0.8320745658254568,0.9703039493408024,0.9989259315882496,0.23150570210367744,0.9707190588682243,0.4349864869174308,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,sqrt,0.4,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,8.573237943649293,0.5902440071105957,0.7689027235588156,0.8255437491866875,0.6933322075561339,0.705706568196022,0.7773458578859315,0.7874405756293761,0.9372864671773191,0.7725226774823645,0.9289721215809459,0.8103681415166892,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,71.20844984054565,0.8284471511840821,0.7058875507095541,0.9964690463337774,0.8423707731713866,0.9984773431003404,0.8423554751582145,0.9984788927709201,0.9999932614755508,0.1716232577731648,0.9736364923483363,0.41421020958327537,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,sqrt,0.6,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,8.522346353530883,0.5897417545318604,0.7689027235588156,0.8255437491866875,0.6933322075561339,0.705706568196022,0.7773458578859315,0.7874405756293761,0.9372864671773191,0.7725226774823645,0.9289721215809459,0.8103681415166892,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,sqrt,0.8,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,88.43229141235352,0.852702283859253,0.7200079894847724,1.0,0.8484158765569809,1.0,0.8486819022981212,1.0,1.0,0.13115410577119577,0.9754093416187386,0.3992333364307878,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,sqrt,0.8,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,8.502493762969971,0.5910309314727783,0.7689027235588156,0.8255437491866875,0.6933322075561339,0.705706568196022,0.7773458578859315,0.7874405756293761,0.9372864671773191,0.7725226774823645,0.9289721215809459,0.8103681415166892,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,log2,0.4,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,51.08927836418152,0.7904150485992432,0.684119361140621,0.9396370350644924,0.8317348020078082,0.9700013674326355,0.8320745658254568,0.9703039493408024,0.9989259315882496,0.23150570210367744,0.9707190588682243,0.4349864869174308,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,log2,0.4,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,8.506706285476685,0.5896326541900635,0.7689027235588156,0.8255437491866875,0.6933322075561339,0.705706568196022,0.7773458578859315,0.7874405756293761,0.9372864671773191,0.7725226774823645,0.9289721215809459,0.8103681415166892,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,log2,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,71.49752016067505,0.826007890701294,0.7058875507095541,0.9964690463337774,0.8423707731713866,0.9984773431003404,0.8423554751582145,0.9984788927709201,0.9999932614755508,0.1716232577731648,0.9736364923483363,0.41421020958327537,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,log2,0.6,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,8.547177839279176,0.5920892238616944,0.7689027235588156,0.8255437491866875,0.6933322075561339,0.705706568196022,0.7773458578859315,0.7874405756293761,0.9372864671773191,0.7725226774823645,0.9289721215809459,0.8103681415166892,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,log2,0.8,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,88.22998576164245,0.8547811031341552,0.7200079894847724,1.0,0.8484158765569809,1.0,0.8486819022981212,1.0,1.0,0.13115410577119577,0.9754093416187386,0.3992333364307878,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,entropy,1000,log2,0.8,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,8.494848108291626,0.5862327098846436,0.7689027235588156,0.8255437491866875,0.6933322075561339,0.705706568196022,0.7773458578859315,0.7874405756293761,0.9372864671773191,0.7725226774823645,0.9289721215809459,0.8103681415166892,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,gini,1000,sqrt,0.4,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,31.052953147888182,0.8122230052947998,0.6831804543032287,0.9380970457354681,0.8311439032451302,0.9692627627045984,0.8311889449646757,0.9695794178522634,0.9988822858736974,0.2343165213496688,0.9701285570345007,0.4402034963423153,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,gini,1000,sqrt,0.4,1,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,7.332573747634887,0.6082020282745362,0.7688136333573842,0.8250003786303639,0.6921504616719341,0.7053883954165828,0.7754167068725393,0.786988472257881,0.9367123348143653,0.7773693342192596,0.9280519951640441,0.8152369552176137,rf
tuning/tuning_results/tuning_run01.csv,preprocessed_data_k5.txt,rf,,15,both,15,tied,rbf,0.2,gini,1000,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,43.325429916381836,0.8589692115783691,0.7007098353028196,0.9968340705658149,0.8397343062527112,0.9982728047476641,0.8395762012630982,0.9982744836688113,0.9999917794622155,0.17404714665030616,0.9729938167610342,0.41895630191761557,rf
