model,fit_time,score_time,train_balanced_accuracy,test_balanced_accuracy,train_recall,test_recall,train_precision,test_precision,train_roc_auc,test_roc_auc,train_log_loss,test_log_loss,num_clusters,find_num_clusters,num_components,cov_type,kernel,alpha,criterion,n_estimators,max_features,max_samples,resample,decision_function_shape,gamma,n_neighbors,sampling_strategy,batch_size,epochs,learning_rate,rnn_size,dense_units,dropout,attention,bidirectional,regularize,print_results,output,data_file,model_type,name
baseline,0.0006374835968017579,0.0010164260864257812,0.14285714285714285,0.14285714285714285,0.38820962178017393,0.3882096265191544,0.150706713534866,0.15070671431546728,nan,nan,nan,nan,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,baseline,
label_spreading,7.690390729904175,2.024379301071167,0.6127691807533192,0.5528586579277923,0.8121385912391339,0.7609237027867287,0.7752378851044444,0.723977495401674,0.9765356262611234,0.9545655610519459,0.3375379009708567,0.6235025682952867,15,both,15,tied,knn,0.01,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.684655857086182,2.005424213409424,0.6111239217380993,0.552148930107806,0.8116494826604415,0.7610541375693375,0.7749099537246851,0.7240733826184369,0.9764087113092781,0.9546229144916077,0.3439452839744631,0.5498474571147437,15,both,15,tied,knn,0.1,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.763926982879639,2.0004504680633546,0.6078499665168856,0.5512411402952022,0.8106060504745723,0.7604889390775164,0.7738994058140711,0.723597943851683,0.9761077128847191,0.9545948788618809,0.35203985389736403,0.5309005859157228,15,both,15,tied,knn,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.749427604675293,2.00736026763916,0.6005053627399113,0.5475870836799615,0.8074540165586465,0.7591411602392675,0.7708196005675539,0.7223077086927825,0.9756221313880138,0.9544445429563206,0.3613854016246544,0.5227083137133135,15,both,15,tied,knn,0.3,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.669366550445557,2.0066300868988036,0.5904131023442605,0.5418895920483671,0.80284552647186,0.7575325307352844,0.7663395626635443,0.7207542268031022,0.9747701342927197,0.9540947481762767,0.3723195636839137,0.5196309082450897,15,both,15,tied,knn,0.4,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.767381763458252,2.005534791946411,0.5815542135901788,0.5361808726319197,0.7973566358633628,0.7559673889419124,0.7611956823172766,0.7194077714982253,0.9735133517629372,0.9535019871723713,0.38536456273649816,0.5201553581691319,15,both,15,tied,knn,0.5,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.817389917373657,2.005346250534058,0.5690466160959442,0.527089358098509,0.7910416907871263,0.7524458482560502,0.7552820357196824,0.7157467713801108,0.9718076725350413,0.9526157099225919,0.4013882779436198,0.5240451005107805,15,both,15,tied,knn,0.6,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.7513346672058105,2.006370449066162,0.5544234359726736,0.5140856307961391,0.7841072159358069,0.7490112546421855,0.7487482107894344,0.7121273819384747,0.9694811826169003,0.951329282017794,0.42198906684166415,0.5319946995055881,15,both,15,tied,knn,0.7,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.793239259719849,2.0022490978240968,0.5362982577750965,0.4979412096173201,0.774890235762234,0.7446201770881566,0.7401728289013779,0.7081048804842981,0.9661083644112056,0.9493028162790005,0.4506275411379351,0.5463303651711285,15,both,15,tied,knn,0.8,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.809499311447143,2.0005854606628417,0.3854735200124899,0.3732715122743849,0.734326810570314,0.7185777193993744,0.7019922323577245,0.6826733704369085,0.9468363382053356,0.9351045308161723,0.6130342033775144,0.6627262349203514,15,both,15,tied,knn,0.99,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run08.csv,preprocessed_data_k5.txt,label_spreading,
