model,fit_time,score_time,train_balanced_accuracy,test_balanced_accuracy,train_recall,test_recall,train_precision,test_precision,train_roc_auc,test_roc_auc,train_log_loss,test_log_loss,num_clusters,find_num_clusters,num_components,cov_type,kernel,alpha,criterion,n_estimators,max_features,max_samples,resample,decision_function_shape,gamma,n_neighbors,sampling_strategy,batch_size,epochs,learning_rate,rnn_size,dense_units,dropout,attention,bidirectional,regularize,print_results,output,data_file,model_type,name
baseline,0.0007771968841552735,0.0010247230529785156,0.14285714285714285,0.14285714285714285,0.38820962178017393,0.3882096265191544,0.150706713534866,0.15070671431546728,nan,nan,nan,nan,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,baseline,
knn,0.0034836292266845702,0.9368699550628662,1.0,0.7076525082050427,1.0,0.7943732106339468,1.0,0.7941552431248263,1.0,0.8590568065790268,6.448926813128463e-15,7.102097698717515,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,1,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,knn,
knn,0.0035250186920166016,1.005829095840454,1.0,0.7076525082050427,1.0,0.7943732106339468,1.0,0.7941552431248263,1.0,0.9102886866880515,5.692073062143828e-09,3.9958781186921484,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,2,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,knn,
knn,0.0034705638885498048,1.1179359912872315,1.0,0.6823998386404504,1.0,0.7986909999793437,1.0,0.7967446034207122,1.0,0.9302860953379721,1.1333211215887804e-08,2.6890390164334894,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,3,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,knn,
knn,0.0035129547119140624,1.2940879344940186,1.0,0.6857284357346185,1.0,0.8035543987936627,1.0,0.8016744664989093,1.0,0.9401274142891569,1.7038925972457696e-08,2.034716249805822,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,4,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,knn,
knn,0.0034742355346679688,1.302588939666748,1.0,0.6704787413734055,1.0,0.8043727768482369,1.0,0.8017631616270237,1.0,0.9452828779334945,2.2734173892599206e-08,1.6536792799414166,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,5,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,knn,
knn,0.0035053253173828124,1.3104092121124267,1.0,0.6709852821167948,1.0,0.8051907727582576,1.0,0.8025749659672845,1.0,0.9482945118033494,2.8164519319925188e-08,1.418729048257513,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,6,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,knn,
knn,0.0037888526916503907,1.3180793285369874,1.0,0.6578807402420767,1.0,0.8038273223027825,1.0,0.8008466190259025,1.0,0.9504153939267452,3.348394136826013e-08,1.2396358615464824,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,7,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,knn,
knn,0.0035912513732910155,1.3211172580718995,1.0,0.6570264188591294,1.0,0.8041454111668835,1.0,0.8013211928225324,1.0,0.9516526339098457,3.884859549310372e-08,1.110445218906484,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,8,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,knn,
knn,0.003502941131591797,1.3133968353271483,1.0,0.6535913811908804,1.0,0.8034182004089979,1.0,0.8007636629316156,1.0,0.952408247764501,4.422888847754891e-08,1.0307755270571834,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,9,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,knn,
knn,0.0033998012542724608,1.3386192321777344,1.0,0.6512875347913745,1.0,0.8026455247774266,1.0,0.799791008917908,1.0,0.9528692687266587,4.959755933485969e-08,0.9703613429499949,15,both,15,tied,rbf,0.2,entropy,100,sqrt,0.6,0,ovr,auto,10,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,knn,
label_spreading,7.593844652175903,1.9819891929626465,0.6127691807533192,0.5528586579277923,0.8121385912391339,0.7609237027867287,0.7752378851044444,0.723977495401674,0.9765356262611234,0.9545655610519459,0.3375379009708567,0.6235025682952867,15,both,15,tied,knn,0.01,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.700461578369141,1.9846937656402588,0.6078499665168856,0.5512411402952022,0.8106060504745723,0.7604889390775164,0.7738994058140711,0.723597943851683,0.9761077128847191,0.9545948788618809,0.35203985389736403,0.5309005859157228,15,both,15,tied,knn,0.2,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,label_spreading,
label_spreading,7.73242974281311,2.005628538131714,0.5904131023442605,0.5418895920483671,0.80284552647186,0.7575325307352844,0.7663395626635443,0.7207542268031022,0.9747701342927197,0.9540947481762767,0.3723195636839137,0.5196309082450897,15,both,15,tied,knn,0.4,entropy,100,sqrt,0.6,0,ovr,auto,20,not minority,32,15,0.01,100,100,0.2,0,0,0,0,tuning/tuning_results/tuning_run07.csv,preprocessed_data_k5.txt,label_spreading,
