model,fit_time,score_time,train_balanced_accuracy,test_balanced_accuracy,train_recall,test_recall,train_precision,test_precision,train_roc_auc,test_roc_auc,train_log_loss,test_log_loss,num_clusters,find_num_clusters,num_components,cov_type,kernel,alpha,criterion,n_estimators,max_features,max_samples,resample,decision_function_shape,gamma,n_neighbors,sampling_strategy,batch_size,epochs,learning_rate,rnn_size,dense_units,dropout,attention,bidirectional,regularize,print_results,output,data_file,model_type,name
bmm,1378.20342464447,0.0351158618927,0.233443155281749,0.235473033395875,0.435247380073792,0.437963598001754,0.504640608835108,0.491729288534754,nan,nan,nan,nan,30,both,30,tied,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,bmm,
bmm,269.516540813446,0.008586931228638,0.352787155932036,0.354358271107661,0.631204478934974,0.633072473971944,0.608515764060514,0.609535400664244,nan,nan,nan,nan,30,both,30,diag,rbf,0.1,entropy,500,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,bmm,
rf,2.39306473731995,0.027595663070679,0.873844409491383,0.684412004687154,0.951233577272448,0.823815492244951,0.951848849350177,0.824849688389737,0.997158692703703,0.966160384198913,0.236411235145087,0.600690144422703,30,both,30,diag,rbf,0.1,entropy,25,sqrt,0.4,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.254945182800293,0.018679428100586,0.792512324379691,0.727872524996862,0.705051720123385,0.70272408900152,0.754835195134519,0.752679913921173,0.917046408524881,0.914311655245755,1.16801210885701,1.22704713357054,30,both,30,diag,rbf,0.1,entropy,25,sqrt,0.4,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,3.41617875099182,0.02896637916565,0.959519450341472,0.694494441974502,0.984590689934913,0.833717830859294,0.984677684853366,0.834870081024745,0.999630379778284,0.968521535762883,0.17631529757722,0.567028372058708,30,both,30,diag,rbf,0.1,entropy,25,sqrt,0.6,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.240756893157959,0.017841863632202,0.792512324379691,0.727872524996862,0.705051720123385,0.70272408900152,0.754835195134519,0.752679913921173,0.917046408524881,0.914311655245755,1.16801210885701,1.22704713357054,30,both,30,diag,rbf,0.1,entropy,25,sqrt,0.6,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,4.26545929908752,0.030497264862061,0.98856033114975,0.707947277024666,0.996370575636237,0.84001179250162,0.996377147372663,0.841479400090718,0.999969325095549,0.96953324715453,0.135954049969972,0.587712101026827,30,both,30,diag,rbf,0.1,entropy,25,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.258540678024292,0.018802356719971,0.792512324379691,0.727872524996862,0.705051720123385,0.70272408900152,0.754835195134519,0.752679913921173,0.917046408524881,0.914311655245755,1.16801210885701,1.22704713357054,30,both,30,diag,rbf,0.1,entropy,25,sqrt,0.8,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,2.42886185646057,0.028061151504517,0.873844409491383,0.684412004687154,0.951233577272448,0.823815492244951,0.951848849350177,0.824849688389737,0.997158692703703,0.966160384198913,0.236411235145087,0.600690144422703,30,both,30,diag,rbf,0.1,entropy,25,log2,0.4,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.25345139503479,0.01902494430542,0.792512324379691,0.727872524996862,0.705051720123385,0.70272408900152,0.754835195134519,0.752679913921173,0.917046408524881,0.914311655245755,1.16801210885701,1.22704713357054,30,both,30,diag,rbf,0.1,entropy,25,log2,0.4,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,3.61852717399597,0.0305419921875,0.959519450341472,0.694494441974502,0.984590689934913,0.833717830859294,0.984677684853366,0.834870081024745,0.999630379778284,0.968521535762883,0.17631529757722,0.567028372058708,30,both,30,diag,rbf,0.1,entropy,25,log2,0.6,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.25419979095459,0.019162034988403,0.792512324379691,0.727872524996862,0.705051720123385,0.70272408900152,0.754835195134519,0.752679913921173,0.917046408524881,0.914311655245755,1.16801210885701,1.22704713357054,30,both,30,diag,rbf,0.1,entropy,25,log2,0.6,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,4.43219614028931,0.031413555145264,0.98856033114975,0.707947277024666,0.996370575636237,0.84001179250162,0.996377147372663,0.841479400090718,0.999969325095549,0.96953324715453,0.135954049969972,0.587712101026827,30,both,30,diag,rbf,0.1,entropy,25,log2,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.259754467010498,0.019623041152954,0.792512324379691,0.727872524996862,0.705051720123385,0.70272408900152,0.754835195134519,0.752679913921173,0.917046408524881,0.914311655245755,1.16801210885701,1.22704713357054,30,both,30,diag,rbf,0.1,entropy,25,log2,0.8,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,1.20447759628296,0.029910945892334,0.877949968269675,0.688754070827766,0.951485342029114,0.825997342725784,0.952017687058264,0.826484980038255,0.997211277757823,0.965247858352102,0.238752369986992,0.617241861713152,30,both,30,diag,rbf,0.1,gini,25,sqrt,0.4,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.234955596923828,0.019588041305542,0.786262445560524,0.707405741895803,0.697425864331474,0.689170942945014,0.747806645968039,0.740532153194148,0.915371922717658,0.91165318588981,1.13657169562315,1.19800454797298,30,both,30,diag,rbf,0.1,gini,25,sqrt,0.4,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,1.69682183265686,0.031586933135986,0.958742322778438,0.692438991202278,0.985094199092369,0.832585016533358,0.985174779265978,0.833243802136726,0.999621916078105,0.967800412051851,0.17869169759528,0.590437355839849,30,both,30,diag,rbf,0.1,gini,25,sqrt,0.6,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.2166090965271,0.018661737442017,0.786262445560524,0.707405741895803,0.697425864331474,0.689170942945014,0.747806645968039,0.740532153194148,0.915371922717658,0.91165318588981,1.13657169562315,1.19800454797298,30,both,30,diag,rbf,0.1,gini,25,sqrt,0.6,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,2.12103943824768,0.033562564849854,0.98962442195629,0.69623824969513,0.996244692157587,0.838459567943375,0.996251567083979,0.839026786681981,0.999969034722569,0.968410389854011,0.138118131066767,0.585713235484874,30,both,30,diag,rbf,0.1,gini,25,sqrt,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.23218879699707,0.020040082931519,0.786262445560524,0.707405741895803,0.697425864331474,0.689170942945014,0.747806645968039,0.740532153194148,0.915371922717658,0.91165318588981,1.13657169562315,1.19800454797298,30,both,30,diag,rbf,0.1,gini,25,sqrt,0.8,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,1.13308143615723,0.028273820877075,0.877949968269675,0.688754070827766,0.951485342029114,0.825997342725784,0.952017687058264,0.826484980038255,0.997211277757823,0.965247858352102,0.238752369986992,0.617241861713152,30,both,30,diag,rbf,0.1,gini,25,log2,0.4,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.228739881515503,0.020699119567871,0.786262445560524,0.707405741895803,0.697425864331474,0.689170942945014,0.747806645968039,0.740532153194148,0.915371922717658,0.91165318588981,1.13657169562315,1.19800454797298,30,both,30,diag,rbf,0.1,gini,25,log2,0.4,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,1.58231449127197,0.030380773544312,0.958742322778438,0.692438991202278,0.985094199092369,0.832585016533358,0.985174779265978,0.833243802136726,0.999621916078105,0.967800412051851,0.17869169759528,0.590437355839849,30,both,30,diag,rbf,0.1,gini,25,log2,0.6,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.23734655380249,0.020507764816284,0.786262445560524,0.707405741895803,0.697425864331474,0.689170942945014,0.747806645968039,0.740532153194148,0.915371922717658,0.91165318588981,1.13657169562315,1.19800454797298,30,both,30,diag,rbf,0.1,gini,25,log2,0.6,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,2.13626251220703,0.036147308349609,0.98962442195629,0.69623824969513,0.996244692157587,0.838459567943375,0.996251567083979,0.839026786681981,0.999969034722569,0.968410389854011,0.138118131066767,0.585713235484874,30,both,30,diag,rbf,0.1,gini,25,log2,0.8,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.215722990036011,0.018281173706055,0.786262445560524,0.707405741895803,0.697425864331474,0.689170942945014,0.747806645968039,0.740532153194148,0.915371922717658,0.91165318588981,1.13657169562315,1.19800454797298,30,both,30,diag,rbf,0.1,gini,25,log2,0.8,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,9.63676190376282,0.102028179168701,0.895341442734397,0.696070541053098,0.964408590242854,0.83359208877722,0.964853005659288,0.834577488947997,0.998521535275749,0.97055429560894,0.231369097144618,0.467180308665596,30,both,30,diag,rbf,0.1,entropy,100,sqrt,0.4,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.886192750930786,0.063884782791138,0.805562419018459,0.729705405472588,0.716632298706768,0.711115665197534,0.766369475106732,0.76247218463204,0.928869550086787,0.92596887823023,0.840130503300624,0.868787199566061,30,both,30,diag,rbf,0.1,entropy,100,sqrt,0.4,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,13.5982323169708,0.107782316207886,0.9890559494059,0.701796427177349,0.994524395197948,0.842067680825327,0.99454111902482,0.843403424298847,0.999944201859743,0.972834280999953,0.172487075859258,0.446793703698045,30,both,30,diag,rbf,0.1,entropy,100,sqrt,0.6,0,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
rf,0.884255743026733,0.064142560958862,0.805562419018459,0.729705405472588,0.716632298706768,0.711115665197534,0.766369475106732,0.76247218463204,0.928869550086787,0.92596887823023,0.840130503300624,0.868787199566061,30,both,30,diag,rbf,0.1,entropy,100,sqrt,0.6,1,ovr,scale,4,all,8,100,0.01,50,0,0.2,1,1,0,0,tuning/tuning_results/tuning_run01.csv,data/preprocessed_data_k5_updated02.txt,rf,
